2025-10-07 16:26:39 [pool-1-thread-1] WARN ru.agapovla.simplebank.transfer.TransferTask - Попытка перевода на свой же счет!
2025-10-07 16:26:39 [pool-1-thread-6] WARN ru.agapovla.simplebank.transfer.TransferTask - Попытка перевода на свой же счет!
2025-10-07 16:26:39 [pool-1-thread-2] INFO ru.agapovla.simplebank.service.AccountService - Перевод #0: Откуда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9096), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=10904), Сумма перевода: 904
2025-10-07 16:26:39 [pool-1-thread-1] INFO ru.agapovla.simplebank.service.AccountService - Перевод #0: Откуда: Account(id=f66d010d-6f05-45e4-b7b1-13a3e2c356bb, money=9698), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=10302), Сумма перевода: 302
2025-10-07 16:26:39 [pool-1-thread-5] INFO ru.agapovla.simplebank.service.AccountService - Перевод #1: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=9310), Куда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9786), Сумма перевода: 690
2025-10-07 16:26:39 [pool-1-thread-6] INFO ru.agapovla.simplebank.service.AccountService - Перевод #3: Откуда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=9339), Куда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=10273), Сумма перевода: 963
2025-10-07 16:26:39 [pool-1-thread-3] INFO ru.agapovla.simplebank.service.AccountService - Перевод #3: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=9847), Куда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9939), Сумма перевода: 153
2025-10-07 16:26:39 [pool-1-thread-7] INFO ru.agapovla.simplebank.service.AccountService - Перевод #4: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=10104), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=11073), Сумма перевода: 169
2025-10-07 16:26:39 [pool-1-thread-4] INFO ru.agapovla.simplebank.service.AccountService - Перевод #5: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=9490), Куда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=10296), Сумма перевода: 357
2025-10-07 16:26:40 [pool-1-thread-1] INFO ru.agapovla.simplebank.service.AccountService - Перевод #7: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=9981), Куда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=10419), Сумма перевода: 123
2025-10-07 16:26:40 [pool-1-thread-4] INFO ru.agapovla.simplebank.service.AccountService - Перевод #8: Откуда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9603), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=11889), Сумма перевода: 816
2025-10-07 16:26:41 [pool-1-thread-7] WARN ru.agapovla.simplebank.transfer.TransferTask - Попытка перевода на свой же счет!
2025-10-07 16:26:41 [pool-1-thread-7] INFO ru.agapovla.simplebank.service.AccountService - Перевод #9: Откуда: Account(id=f66d010d-6f05-45e4-b7b1-13a3e2c356bb, money=9247), Куда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=10432), Сумма перевода: 451
2025-10-07 16:26:41 [pool-1-thread-3] INFO ru.agapovla.simplebank.service.AccountService - Перевод #10: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=9522), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=10249), Сумма перевода: 910
2025-10-07 16:26:41 [pool-1-thread-5] INFO ru.agapovla.simplebank.service.AccountService - Перевод #11: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=8494), Куда: Account(id=f66d010d-6f05-45e4-b7b1-13a3e2c356bb, money=10243), Сумма перевода: 996
2025-10-07 16:26:41 [pool-1-thread-6] INFO ru.agapovla.simplebank.service.AccountService - Перевод #12: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=8301), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=10442), Сумма перевода: 193
2025-10-07 16:26:41 [pool-1-thread-2] INFO ru.agapovla.simplebank.service.AccountService - Перевод #13: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=7649), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=11094), Сумма перевода: 652
2025-10-07 16:26:41 [pool-1-thread-4] INFO ru.agapovla.simplebank.service.AccountService - Перевод #14: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=8973), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=12438), Сумма перевода: 549
2025-10-07 16:26:42 [pool-1-thread-5] INFO ru.agapovla.simplebank.service.AccountService - Перевод #15: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=8522), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=12889), Сумма перевода: 451
